Main Folder,Sub Folder,File Type,Accuracy F1-Score
fv_ventral_mixed,_7,classification_results_test.xlsx,0.5500
fv_ventral_mixed,_70,classification_results_test.xlsx,0.4750
fv_ventral_mixed,_71,classification_results_test.xlsx,0.5000
fv_ventral_mixed,_72,classification_results_test.xlsx,0.5500
fv_ventral_mixed,_73,classification_results_test.xlsx,0.5750
fv_ventral_mixed,_74,classification_results_test.xlsx,0.5000
fv_ventral_mixed,_75,classification_results_test.xlsx,0.4250
fv_ventral_mixed,_76,classification_results_test.xlsx,0.5750
fv_ventral_mixed,_77,classification_results_test.xlsx,0.5000
fv_ventral_mixed,_78,classification_results_test.xlsx,0.4250
fv_ventral_mixed,_79,classification_results_test.xlsx,0.5000
fv_ventral_mixed,_8,classification_results_test.xlsx,0.4750
fv_ventral_mixed,_80,classification_results_test.xlsx,0.5000
fv_ventral_mixed,_81,classification_results_test.xlsx,0.5000
fv_ventral_mixed,_82,classification_results_test.xlsx,0.5000
fv_ventral_mixed,_83,classification_results_test.xlsx,0.5750
fv_ventral_mixed,_84,classification_results_test.xlsx,0.4500
fv_ventral_mixed,_85,classification_results_test.xlsx,0.5250
fv_ventral_mixed,_86,classification_results_test.xlsx,0.3750
fv_ventral_mixed,_87,classification_results_test.xlsx,0.4000
fv_ventral_mixed,_88,classification_results_test.xlsx,0.5250
fv_ventral_mixed,_89,classification_results_test.xlsx,0.4750
fv_ventral_mixed,_9,classification_results_test.xlsx,0.5750
fv_ventral_mixed,_90,classification_results_test.xlsx,0.4250
fv_ventral_mixed,_91,classification_results_test.xlsx,0.5000
fv_ventral_mixed,_92,classification_results_test.xlsx,0.5000
fv_ventral_mixed,_93,classification_results_test.xlsx,0.3750
fv_ventral_mixed,_94,classification_results_test.xlsx,0.3750
fv_ventral_mixed,_95,classification_results_test.xlsx,0.4750
fv_ventral_mixed,_96,classification_results_test.xlsx,0.5250
fv_ventral_mixed,_97,classification_results_test.xlsx,0.4500
fv_ventral_mixed,_98,classification_results_test.xlsx,0.5000
fv_ventral_mixed,_99,classification_results_test.xlsx,0.4500
lc_dorasl,_1,classification_results_test.xlsx,0.8750
lc_dorasl,_10,classification_results_test.xlsx,0.9000
lc_dorasl,_100,classification_results_test.xlsx,0.8250
lc_dorasl,_11,classification_results_test.xlsx,0.9500
lc_dorasl,_12,classification_results_test.xlsx,0.8500
lc_dorasl,_13,classification_results_test.xlsx,0.9750
lc_dorasl,_14,classification_results_test.xlsx,0.9250
lc_dorasl,_15,classification_results_test.xlsx,0.8500
lc_dorasl,_16,classification_results_test.xlsx,0.7250
lc_dorasl,_17,classification_results_test.xlsx,0.9250
lc_dorasl,_18,classification_results_test.xlsx,0.9500
lc_dorasl,_19,classification_results_test.xlsx,0.9750
lc_dorasl,_2,classification_results_test.xlsx,0.9000
lc_dorasl,_20,classification_results_test.xlsx,0.9500
lc_dorasl,_21,classification_results_test.xlsx,0.8750
lc_dorasl,_22,classification_results_test.xlsx,0.8250
lc_dorasl,_23,classification_results_test.xlsx,0.8750
lc_dorasl,_24,classification_results_test.xlsx,0.8000
lc_dorasl,_25,classification_results_test.xlsx,0.7250
lc_dorasl,_26,classification_results_test.xlsx,0.8250
lc_dorasl,_27,classification_results_test.xlsx,0.9750
lc_dorasl,_28,classification_results_test.xlsx,0.9750
lc_dorasl,_29,classification_results_test.xlsx,0.9000
lc_dorasl,_3,classification_results_test.xlsx,0.9000
lc_dorasl,_30,classification_results_test.xlsx,0.9000
lc_dorasl,_31,classification_results_test.xlsx,0.9500
lc_dorasl,_32,classification_results_test.xlsx,0.8750
lc_dorasl,_33,classification_results_test.xlsx,0.9000
lc_dorasl,_34,classification_results_test.xlsx,0.8500
lc_dorasl,_35,classification_results_test.xlsx,0.8750
lc_dorasl,_36,classification_results_test.xlsx,0.9000
lc_dorasl,_37,classification_results_test.xlsx,0.8500
lc_dorasl,_38,classification_results_test.xlsx,0.9750
lc_dorasl,_39,classification_results_test.xlsx,0.8750
lc_dorasl,_4,classification_results_test.xlsx,0.8500
lc_dorasl,_40,classification_results_test.xlsx,0.9250
lc_dorasl,_41,classification_results_test.xlsx,0.8750
lc_dorasl,_42,classification_results_test.xlsx,0.8500
lc_dorasl,_43,classification_results_test.xlsx,0.8750
lc_dorasl,_44,classification_results_test.xlsx,0.8750
lc_dorasl,_45,classification_results_test.xlsx,0.9750
lc_dorasl,_46,classification_results_test.xlsx,0.8250
lc_dorasl,_47,classification_results_test.xlsx,0.8750
lc_dorasl,_48,classification_results_test.xlsx,0.6750
lc_dorasl,_49,classification_results_test.xlsx,0.9000
lc_dorasl,_5,classification_results_test.xlsx,0.8000
lc_dorasl,_50,classification_results_test.xlsx,0.8250
lc_dorasl,_51,classification_results_test.xlsx,0.9750
lc_dorasl,_52,classification_results_test.xlsx,0.6250
lc_dorasl,_53,classification_results_test.xlsx,0.8750
lc_dorasl,_54,classification_results_test.xlsx,0.9000
lc_dorasl,_55,classification_results_test.xlsx,0.8750
lc_dorasl,_56,classification_results_test.xlsx,0.9500
lc_dorasl,_57,classification_results_test.xlsx,0.8000
lc_dorasl,_58,classification_results_test.xlsx,0.8250
lc_dorasl,_59,classification_results_test.xlsx,0.9000
lc_dorasl,_6,classification_results_test.xlsx,0.8500
lc_dorasl,_60,classification_results_test.xlsx,0.9250
lc_dorasl,_61,classification_results_test.xlsx,0.9250
lc_dorasl,_62,classification_results_test.xlsx,0.8750
lc_dorasl,_63,classification_results_test.xlsx,0.9000
lc_dorasl,_64,classification_results_test.xlsx,0.9250
lc_dorasl,_65,classification_results_test.xlsx,0.8500
lc_dorasl,_66,classification_results_test.xlsx,0.9250
lc_dorasl,_67,classification_results_test.xlsx,0.8250
lc_dorasl,_68,classification_results_test.xlsx,0.8500
lc_dorasl,_69,classification_results_test.xlsx,0.8750
